CONFORMED-NAME	TICKER	SIC	CIK	YEAR
WEIGHT WATCHERS INTERNATIONAL INC-16	WTW	7200	105319	2016
OnePower Systems Ltd.-16	Unknown	7389	1561206	2016
National CineMedia, LLC-16	Unknown	7310	1527190	2016
Imprivata Inc-16	IMPR	7372	1328015	2016
UNITED ONLINE INC-16	UNTD	7370	1142701	2016
UNITED ONLINE INC-16	UNTD	7370	1142701	2016
Planet Payment Inc-16	PLPM	7389	1362925	2016
CAI International, Inc.-16	CAP	7359	1388430	2016
CAI International, Inc.-16	CAP	7359	1388430	2016
CDI CORP-16	CDI	7363	18396	2016
CDI CORP-16	CDI	7363	18396	2016
GoDaddy Inc.-16	Unknown	7373	1609711	2016
Five9, Inc.-16	FIVN	7374	1288847	2016
PERFICIENT INC-16	PRFT	7371	1085869	2016
PERFICIENT INC-16	PRFT	7371	1085869	2016
Reis, Inc.-16	WRP	7389	1038222	2016
RVUE HOLDINGS, INC.-16	RVUE	7310	1455206	2016
Marketo, Inc.-16	MKTO	7372	1490660	2016
Planet Fitness, Inc.-16	PLNT	7997	1637207	2016
RUBICON PROJECT, INC.-16	RUBI	7370	1595974	2016
CINEMARK USA INC /TX-16	Unknown	7830	885975	2016
inContact, Inc.-16	SAAS	7372	1087934	2016
MINDBODY, Inc.-16	MB	7374	1458962	2016
IntraLinks Holdings, Inc.-16	IL	7372	1488075	2016
CASS INFORMATION SYSTEMS INC-16	CASS	7389	708781	2016
OPOWER, INC.-16	OPWR	7372	1412043	2016
Blue Water Bar & Grill, Inc.-16	Unknown	7372	1593470	2016
Support.com, Inc.-16	SPRT	7374	1104855	2016
MeetMe, Inc.-16	MEET	7310	1078099	2016
Allied Ventures Holdings Corp.-16	EXGP	7372	723533	2016
Neff Corp-16	NEFF	7359	1617667	2016
ONVIA INC-16	ONVI	7389	1100917	2016
CBIZ, Inc.-16	CBZ	7389	944148	2016
CBIZ, Inc.-16	CBZ	7389	944148	2016
AMC ENTERTAINMENT HOLDINGS, INC.-16	AMC	7830	1411579	2016
SERVICESOURCE INTERNATIONAL, INC.-16	SREV	7389	1310114	2016
TUCOWS INC /PA/-16	TCX	7374	909494	2016
Bankrate, Inc.-16	RATE	7374	1518222	2016
BAHAMAS CONCIERGE, INC.-16	Unknown	7200	1526759	2016
BAHAMAS CONCIERGE, INC.-16	Unknown	7200	1526759	2016
SMITH MICRO SOFTWARE INC-16	SMSI	7372	948708	2016
ZAP COM CORP-16	ZPCM	7310	1083243	2016
HEIDRICK & STRUGGLES INTERNATIONAL INC-16	HSII	7361	1066605	2016
Xenia Hotels & Resorts, Inc.-16	XHR	7011	1616000	2016
TrueCar, Inc.-16	TRUE	7370	1327318	2016
AMC ENTERTAINMENT INC-16	AEN	7830	722077	2016
Rapid7, Inc.-16	Unknown	7372	1560327	2016
ZIX CORP-16	ZIXI	7374	855612	2016
ZIX CORP-16	ZIXI	7374	855612	2016
TUBEMOGUL INC-16	TUBE	7372	1449278	2016
Affinion Group Holdings, Inc.-16	Unknown	7389	1404624	2016
Fortress Transportation & Infrastructure Investors LLC-16	Unknown	7350	1590364	2016
Square, Inc.-16	SQ	7372	1512673	2016
YuMe Inc-16	YUME	7311	1415624	2016
AUTOBYTEL INC-16	ABTL	7370	1023364	2016
2U, Inc.-16	TWOU	7372	1459417	2016
Affinion Group, Inc.-16	Unknown	7389	1361394	2016
RMG Networks Holding Corp-16	SCGQ	7389	1512074	2016
CENTURY CASINOS INC /CO/-16	CNTY	7011	911147	2016
IPASS INC-16	IPAS	7374	1053374	2016
SPARK NETWORKS INC-16	LOV	7389	1314475	2016
Q BioMed Inc.-16	Unknown	7371	1596062	2016
